Transaction Date,Post Date,Description,Category,Type,Amount
01/30/2018,01/31/2018,APL* ITUNES.COM/BILL,Shopping,Sale,-5.40
01/28/2018,01/29/2018,NTTA AUTOCHARGE,Travel,Sale,-40.00
01/27/2018,01/28/2018,Kindle Unlimited,Shopping,Sale,-10.81
01/24/2018,01/25/2018,PAYPAL *UPRINTING,Professional Services,Sale,-41.80
01/23/2018,01/24/2018,AMAZON MKTPLACE PMTS,Shopping,Sale,-49.99
01/22/2018,01/23/2018,Amazon.com,Shopping,Sale,-53.84
01/22/2018,01/23/2018,AMAZON MKTPLACE PMTS,Shopping,Sale,-99.99
01/21/2018,01/22/2018,AMAZON MKTPLACE PMTS,Shopping,Sale,-105.26
01/18/2018,01/19/2018,AMAZON MKTPLACE PMTS,Shopping,Sale,-39.76
01/18/2018,01/19/2018,AMAZON MKTPLACE PMTS,Shopping,Sale,-30.70
01/17/2018,01/18/2018,AMAZON MKTPLACE PMTS,Shopping,Sale,-48.96
01/16/2018,01/17/2018,AMAZON MKTPLACE PMTS,Shopping,Sale,-156.41
01/16/2018,01/17/2018,APL* ITUNES.COM/BILL,Shopping,Sale,-10.80
01/15/2018,01/16/2018,AMAZON MKTPLACE PMTS,Shopping,Sale,-29.59
01/15/2018,01/16/2018,A NO 1 AIR INC,Home,Sale,-12.00
01/14/2018,01/15/2018,LOWES #00550*,Home,Sale,-244.58
01/13/2018,01/15/2018,AMERICAN AIR0012167334104,Travel,Sale,-272.60
01/13/2018,01/15/2018,AMERICAN AIR0012167334106,Travel,Sale,-272.60
01/13/2018,01/15/2018,AMERICAN AIR0012167334105,Travel,Sale,-272.60
01/13/2018,01/14/2018,KROGER #0577,Groceries,Sale,-99.06
01/11/2018,01/12/2018,VESTA  *AT&amp;T,Bills & Utilities,Sale,-71.66
01/11/2018,01/11/2018,Payment Thank You Bill Pa,,Payment,3214.18
01/04/2018,01/05/2018,AMAZON MKTPLACE PMTS,Shopping,Sale,-30.34
01/05/2018,01/05/2018,AMAZON MKTPLACE PMTS,Shopping,Sale,-79.94
01/03/2018,01/04/2018,WHOLESALE ARTS AND FRA,Shopping,Sale,-196.18
12/29/2017,12/31/2017,APL* ITUNES.COM/BILL,Shopping,Sale,-6.47
12/27/2017,12/27/2017,AMAZON MKTPLACE PMTS,Shopping,Sale,-9.99
12/27/2017,12/27/2017,Kindle Unlimited,Shopping,Sale,-10.81
12/22/2017,12/24/2017,PAYPAL *GORALLANDCO,Entertainment,Sale,-72.33
12/22/2017,12/24/2017,NTTA AUTOCHARGE,Travel,Sale,-40.00
12/20/2017,12/20/2017,AMAZON MKTPLACE PMTS,Shopping,Sale,-82.68
12/17/2017,12/17/2017,AliExpress,Shopping,Sale,-25.97
12/15/2017,12/17/2017,AMAZON MKTPLACE PMTS,Shopping,Sale,-37.90
12/15/2017,12/17/2017,A NO 1 AIR INC,Home,Sale,-12.00
12/14/2017,12/15/2017,AMAZON MKTPLACE PMTS,Shopping,Sale,-72.89
12/14/2017,12/15/2017,AMAZON MKTPLACE PMTS,Shopping,Sale,-11.03
12/13/2017,12/15/2017,PAYPAL *UPRINTING,Professional Services,Sale,-33.19
12/12/2017,12/13/2017,AMAZON MKTPLACE PMTS,Shopping,Sale,-24.54
12/12/2017,12/12/2017,AMAZON MKTPLACE PMTS,Shopping,Sale,-9.59
12/12/2017,12/12/2017,AMAZON MKTPLACE PMTS,Shopping,Sale,-27.24
12/11/2017,12/12/2017,PAYPAL *9479341CANA,Gifts & Donations,Sale,-113.49
12/12/2017,12/12/2017,AMAZON MKTPLACE PMTS,Shopping,Sale,-43.95
12/11/2017,12/12/2017,OPENSKY PROJECT INC.,Shopping,Sale,-49.98
12/11/2017,12/11/2017,Payment Thank You Bill Pa,,Payment,2743.75
12/07/2017,12/08/2017,Amazon.com,Shopping,Sale,-11.01
12/04/2017,12/05/2017,AMAZON MKTPLACE PMTS,Shopping,Sale,-43.94
12/01/2017,12/01/2017,AMAZON MKTPLACE PMTS,Shopping,Sale,-11.98
11/27/2017,11/28/2017,AMAZON MKTPLACE PMTS,Shopping,Sale,-124.45
11/28/2017,11/28/2017,AMAZON MKTPLACE PMTS,Shopping,Sale,-39.64
11/27/2017,11/27/2017,Kindle Unlimited,Shopping,Sale,-10.81
11/26/2017,11/27/2017,AMAZON MKTPLACE PMTS,Shopping,Sale,-43.27
11/24/2017,11/26/2017,Amazon.com,Shopping,Sale,-1836.99
11/21/2017,11/22/2017,AMAZON MKTPLACE PMTS,Shopping,Sale,-18.32
11/21/2017,11/22/2017,Amazon.com,Shopping,Sale,-5.35
11/21/2017,11/22/2017,AMAZON MKTPLACE PMTS,Shopping,Sale,-5.98
11/20/2017,11/20/2017,GOOGLE *Domains,Personal,Sale,-12.00
11/17/2017,11/19/2017,NTTA AUTOCHARGE,Travel,Sale,-40.00
11/16/2017,11/17/2017,AMAZON MKTPLACE PMTS,Shopping,Sale,-624.54
11/15/2017,11/16/2017,A NO 1 AIR INC,Home,Sale,-12.00
11/15/2017,11/16/2017,YMCA DALLAS DRAFT EFT,Gifts & Donations,Sale,-69.00
11/10/2017,11/12/2017,CARROLLTON FARMERS BRANCH,Education,Sale,-34.45
11/11/2017,11/12/2017,AMAZON MKTPLACE PMTS,Shopping,Sale,-19.44
11/11/2017,11/12/2017,Amazon.com,Shopping,Sale,-19.61
11/10/2017,11/12/2017,APL* ITUNES.COM/BILL,Shopping,Sale,-6.47
11/10/2017,11/10/2017,Payment Thank You Bill Pa,,Payment,3341.22
11/10/2017,11/10/2017,AMAZON MKTPLACE PMTS,Shopping,Sale,-12.60
11/08/2017,11/09/2017,Amazon.com,Shopping,Sale,-17.06
11/08/2017,11/08/2017,AMAZON MKTPLACE PMTS,Shopping,Sale,-29.99
11/07/2017,11/08/2017,Amazon.com,Shopping,Sale,-22.99
11/06/2017,11/07/2017,Amazon.com,Shopping,Sale,-79.00
11/05/2017,11/06/2017,APL* ITUNES.COM/BILL,Shopping,Sale,-6.47
11/04/2017,11/05/2017,AMAZON MKTPLACE PMTS,Shopping,Sale,-30.68
11/04/2017,11/05/2017,AMAZON MKTPLACE PMTS,Shopping,Sale,-17.38
11/04/2017,11/05/2017,Amazon.com,Shopping,Sale,-11.25
11/02/2017,11/03/2017,CONOCO - MACARTHUR CONOCO,Gas,Sale,-16.00
11/02/2017,11/03/2017,AMAZON MKTPLACE PMTS,Shopping,Sale,-13.90
11/02/2017,11/03/2017,PANDA EXPRESS #2398,Food & Drink,Sale,-9.80
11/02/2017,11/03/2017,WAL-MART #1216,Groceries,Sale,-44.39
11/01/2017,11/02/2017,APL* ITUNES.COM/BILL,Shopping,Sale,-6.47
10/31/2017,11/01/2017,WAL-MART #2649,Groceries,Sale,-129.84
10/31/2017,11/01/2017,WAL-MART #1216,Groceries,Sale,-44.65
10/30/2017,10/31/2017,NTTA AUTOCHARGE,Travel,Sale,-40.00
10/30/2017,10/31/2017,KROGER #0448,Groceries,Sale,-32.33
10/30/2017,10/31/2017,WAL-MART #1216,Groceries,Sale,-26.39
10/29/2017,10/30/2017,TJMAXX #0006,Shopping,Sale,-408.43
10/29/2017,10/30/2017,WAL-MART #2649,Groceries,Sale,-88.20
10/27/2017,10/29/2017,Kindle Unlimited,Shopping,Sale,-10.81
10/28/2017,10/29/2017,KROGER #0577,Groceries,Sale,-82.71
10/27/2017,10/29/2017,OLIVE GARDEN  00012120,Food & Drink,Sale,-35.86
10/26/2017,10/27/2017,PAYPAL *CAFEPRESSCO,Professional Services,Sale,-24.98
10/26/2017,10/27/2017,WAL-MART #1216,Groceries,Sale,-37.15
10/26/2017,10/27/2017,WAL-MART #1216,Groceries,Sale,-30.75
10/26/2017,10/27/2017,WAL-MART #1216,Groceries,Sale,-21.97
10/25/2017,10/26/2017,CONOCO - MACARTHUR CONOCO,Gas,Sale,-14.00
10/24/2017,10/26/2017,TOM THUMB #2588,Groceries,Sale,-20.86
10/24/2017,10/25/2017,WAL-MART #1216,Groceries,Sale,-41.40
10/24/2017,10/25/2017,WAL-MART #1216,Groceries,Sale,-24.95
10/22/2017,10/24/2017,T-Swirl Crepe,Food & Drink,Sale,-39.19
10/22/2017,10/24/2017,PARTY CITY,Shopping,Sale,-1.08
10/22/2017,10/24/2017,PARTY CITY,Shopping,Sale,-41.11
10/22/2017,10/23/2017,JOANN STORES #2034,Shopping,Sale,-65.17
10/22/2017,10/23/2017,WAL-MART #5092,Groceries,Sale,-67.24
10/21/2017,10/23/2017,INDIA BAZAAR VALLEY RANCH,Groceries,Sale,-19.26
10/22/2017,10/23/2017,TARGET        00013953,Groceries,Sale,-102.15
10/20/2017,10/23/2017,T-Swirl Crepe,Food & Drink,Sale,-22.41
