Transaction Date,Post Date,Description,Category,Type,Amount
12/28/2018,12/31/2018,SPA CASTLE TEXAS,Health & Wellness,Sale,-21.62
12/29/2018,12/31/2018,INDIA BAZAAR VALLEY RANCH,Groceries,Sale,-23.24
12/31/2018,12/31/2018,Amazon.com*M27Y16R51,Shopping,Sale,-39.62
12/29/2018,12/30/2018,IKEA-FRISCO,Food & Drink,Sale,-2.17
12/29/2018,12/30/2018,IKEA-FRISCO,Food & Drink,Sale,-29.15
12/29/2018,12/30/2018,CHEVRON 0210271,Gas,Sale,-27.33
12/29/2018,12/30/2018,PAYPAL *ECOFRIENDLYDIGS,Home,Sale,-1299.00
12/29/2018,12/30/2018,IKEA-FRISCO,Home,Sale,-357.75
12/29/2018,12/30/2018,H MART CARROLTON,Groceries,Sale,-26.57
12/29/2018,12/30/2018,PAYPAL *WAYFAIR,Home,Sale,-2229.93
12/29/2018,12/30/2018,Amazon.com*M22U13UZ1,Shopping,Sale,-29.31
12/24/2018,12/28/2018,BASS PRO STORE GRAPEVINE,Shopping,Sale,-33.63
12/27/2018,12/28/2018,APL*ITUNES.COM/BILL,Shopping,Sale,-2.15
12/27/2018,12/28/2018,WAL-MART #2649,Groceries,Sale,-20.43
12/27/2018,12/28/2018,WAL-MART #2649,Groceries,Sale,-131.32
12/27/2018,12/27/2018,Kindle Unltd*M26BC8MQ2,Shopping,Sale,-10.81
12/26/2018,12/27/2018,KROGER 0577,Groceries,Sale,-103.35
12/26/2018,12/27/2018,AMZN Mktp US*M26GH82Y1,Shopping,Sale,-5.09
12/26/2018,12/27/2018,LAZ PARKING 620646,Travel,Sale,-10.00
12/24/2018,12/26/2018,NEW YORK PIZZA PASTA,Food & Drink,Sale,-68.39
12/22/2018,12/24/2018,CAFE MOZART BAKERY,Food & Drink,Sale,-15.42
12/23/2018,12/24/2018,AMZN Mktp US*M24IQ4GO2,Shopping,Sale,-11.50
12/23/2018,12/24/2018,AMZN Mktp US*M23W04DA1,Shopping,Sale,-16.49
12/23/2018,12/24/2018,PAYPAL *GORALLANDCO,Entertainment,Sale,-67.19
12/22/2018,12/23/2018,AMZN Mktp US*M246L76W1,Shopping,Sale,-16.23
12/21/2018,12/23/2018,WAL-MART #2649,Groceries,Sale,-69.46
12/23/2018,12/23/2018,Prime Video*M233Z2DU0,Shopping,Sale,-3.24
12/22/2018,12/23/2018,Amazon.com*M26QJ7P82,Shopping,Sale,-84.74
12/21/2018,12/23/2018,AMZN Mktp US*M22YS9AV2,Shopping,Sale,-197.99
12/23/2018,12/23/2018,AMZN Mktp US*M25JK5DI0,Shopping,Sale,-70.86
12/22/2018,12/23/2018,AMZN Mktp US*M28M406C0,Shopping,Sale,-65.90
12/21/2018,12/23/2018,SPROUTS FARMERS MAR,Groceries,Sale,-59.36
12/21/2018,12/23/2018,AMZN Mktp US*M29WX3HR1,Shopping,Sale,-9.22
12/21/2018,12/23/2018,AMZN Mktp US*M27ZS7PZ2,Shopping,Sale,-53.36
12/21/2018,12/23/2018,AMZN Mktp US*M204M9EW2,Shopping,Sale,-61.30
12/20/2018,12/21/2018,WENDY'S #1804,Food & Drink,Sale,-13.36
12/20/2018,12/21/2018,CHEVRON 0371147,Gas,Sale,-18.87
