Transaction Date,Post Date,Description,Category,Type,Amount
05/14/2019,05/15/2019,WAL-MART #1216,Groceries,Sale,-19.30
05/12/2019,05/13/2019,WAL-MART #2649,Groceries,Sale,-84.99
05/09/2019,05/12/2019,DALLAS VEHREG,Bills & Utilities,Sale,-73.25
05/11/2019,05/12/2019,KROGER 0448,Groceries,Sale,-32.82
05/10/2019,05/12/2019,KROGER 0577,Groceries,Sale,-72.57
05/09/2019,05/10/2019,WAL-MART #1216,Groceries,Sale,-17.74
05/09/2019,05/10/2019,DRIVER'S EDGE #420,Automotive,Sale,-25.50
05/09/2019,05/10/2019,TX.GOV*SERVICEFEE-DIR,Bills & Utilities,Sale,-2.00
05/09/2019,05/10/2019,SQ *JAVAMEUP,Food & Drink,Sale,-21.43
05/09/2019,05/10/2019,LOWES #00550*,Home,Sale,-31.46
05/10/2019,05/10/2019,Payment Thank You Bill Pa,,Payment,4368.21
05/07/2019,05/09/2019,CARROLLTON FARMERS BRANCH,Education,Sale,-22.49
05/06/2019,05/09/2019,EXXONMOBIL    47908124,Gas,Sale,-25.78
05/06/2019,05/07/2019,AMZN Mktp US*MZ29Q7YD0,Shopping,Sale,-14.07
05/06/2019,05/07/2019,WAL-MART #1216,Groceries,Sale,-93.47
05/07/2019,05/07/2019,AMZN Mktp US*MN1RH1Z31,Shopping,Sale,-28.14
05/03/2019,05/05/2019,TARGET        00010322,Shopping,Sale,-45.37
05/03/2019,05/05/2019,KROGER 0577,Groceries,Sale,-49.25
05/04/2019,05/05/2019,PANERA BREAD #600831 P,Food & Drink,Sale,-52.91
05/01/2019,05/02/2019,LOWES #00550*,Home,Sale,-16.67
04/30/2019,05/01/2019,LOWES #00550*,Home,Sale,-82.23
04/30/2019,05/01/2019,WM SUPERCENTER #1216,Groceries,Sale,-56.05
04/29/2019,04/30/2019,KROGER 0448,Groceries,Sale,-52.02
04/28/2019,04/30/2019,SMOOTHIE KING - 1455 - IR,Food & Drink,Sale,-11.02
04/29/2019,04/30/2019,NETWORK FOR GOOD,Gifts & Donations,Sale,-61.80
04/26/2019,04/29/2019,HARD 8 BBQ COPPELL,Food & Drink,Sale,-16.08
04/27/2019,04/29/2019,TUTTA'S ENTERPRISES  L,Food & Drink,Sale,-38.15
04/27/2019,04/29/2019,THE SIXTH FLOOR MUSEUM,Entertainment,Sale,-98.00
04/26/2019,04/29/2019,HARD 8 BBQ COPPELL,Food & Drink,Sale,-105.02
04/26/2019,04/28/2019,KROGER 0448,Groceries,Sale,-49.91
04/27/2019,04/28/2019,WAL-MART #2649,Groceries,Sale,-36.95
04/27/2019,04/28/2019,Kindle Unltd*MZ1JF4SU1,Shopping,Sale,-10.81
04/26/2019,04/28/2019,CHEVRON 0210271,Gas,Sale,-26.97
04/26/2019,04/28/2019,CARROLLTON FARMERS BRANCH,Education,Sale,-22.49
04/24/2019,04/25/2019,KROGER 0448,Groceries,Sale,-68.97
04/23/2019,04/24/2019,WAL-MART #2649,Groceries,Sale,-176.97
04/20/2019,04/22/2019,85C BAKERY CAFE USA,Food & Drink,Sale,-32.73
04/20/2019,04/22/2019,H MART CARROLTON,Groceries,Sale,-73.43
04/18/2019,04/21/2019,INDIA BAZAAR VALLEY RANCH,Groceries,Sale,-35.44
04/18/2019,04/21/2019,LA MADELEINE #114,Food & Drink,Sale,-29.16
04/21/2019,04/21/2019,Prime Video*MZ5BX9PT0,Shopping,Sale,-3.24
04/19/2019,04/21/2019,WAL-MART #2649,Groceries,Sale,-171.74
04/17/2019,04/21/2019,EXXONMOBIL    47908124,Gas,Sale,-25.22
04/14/2019,04/17/2019,RAISING CANE'S #71,Food & Drink,Sale,-11.66
04/16/2019,04/16/2019,PURCHASE INTEREST CHARGE,,Fee,-36.80
04/14/2019,04/16/2019,SMOOTHIE KING - 1650 - DA,Food & Drink,Sale,-11.37
04/14/2019,04/16/2019,CARROLLTON FARMERS BRANCH,Education,Sale,-22.49
04/15/2019,04/16/2019,WM SUPERCENTER #1216,Groceries,Sale,-16.10
04/15/2019,04/16/2019,A NO 1 AIR INC,Home,Sale,-12.00
04/14/2019,04/15/2019,MCDONALD'S F15516,Food & Drink,Sale,-4.32
04/14/2019,04/15/2019,NTTA AUTOCHARGE,Travel,Sale,-40.00
04/11/2019,04/12/2019,WM SUPERCENTER #1216,Groceries,Sale,-46.57
04/10/2019,04/11/2019,WM SUPERCENTER #1216,Groceries,Sale,-42.61
04/10/2019,04/11/2019,ASAPTRANSLATIONSERVICE,Professional Services,Sale,-254.55
04/10/2019,04/11/2019,LOWES #00550*,Home,Return,41.09
04/11/2019,04/11/2019,Payment Thank You Bill Pa,,Payment,3165.78
04/10/2019,04/11/2019,RICE CHICKEN,Food & Drink,Sale,-32.23
04/10/2019,04/10/2019,DBC*BLICK ART MATERIAL,Shopping,Sale,-74.86
04/08/2019,04/09/2019,WAL-MART #2649,Groceries,Sale,-106.41
04/08/2019,04/09/2019,RVT*C-FB ISD,Personal,Sale,-352.50
04/08/2019,04/09/2019,PANERA BREAD #601385 P,Food & Drink,Sale,-1.31
04/08/2019,04/09/2019,TEXACO 0305627,Gas,Sale,-23.73
04/08/2019,04/09/2019,AMZN Mktp US*MW6803IB0,Shopping,Sale,-14.74
04/07/2019,04/09/2019,INDIA BAZAAR VALLEY RANCH,Groceries,Sale,-63.23
04/08/2019,04/09/2019,PANERA BREAD #601385,Food & Drink,Sale,-20.42
04/07/2019,04/08/2019,TARGET        00010322,Shopping,Sale,-2.11
04/06/2019,04/08/2019,SPA CASTLE TEXAS,Health & Wellness,Sale,-22.71
04/04/2019,04/07/2019,CAFFE BENE,Groceries,Sale,-2.11
04/04/2019,04/07/2019,STARBUCKS STORE 8680,Food & Drink,Sale,-2.54
04/06/2019,04/07/2019,CARROLLTON FARMERS BRANCH,Education,Sale,-22.49
04/05/2019,04/07/2019,LOWES #00550*,Home,Sale,-9.22
04/05/2019,04/07/2019,KROGER 0448,Groceries,Sale,-136.95
04/04/2019,04/07/2019,85C BAKERY CAFE USA,Food & Drink,Sale,-11.16
04/04/2019,04/05/2019,LOWES #00550*,Home,Sale,-15.41
04/03/2019,04/04/2019,LOWES #00550*,Home,Sale,-62.72
04/03/2019,04/04/2019,SQ *ECCLESIA BAKERY,Food & Drink,Sale,-5.41
04/03/2019,04/04/2019,CARROLLTON FARMERS BRANCH,Education,Sale,-22.49
04/03/2019,04/04/2019,SQ *ECCLESIA BAKERY,Food & Drink,Sale,-17.36
04/02/2019,04/03/2019,LOWES #00550*,Home,Sale,-51.90
04/02/2019,04/03/2019,WM SUPERCENTER #1216,Groceries,Sale,-87.77
04/02/2019,04/03/2019,LOWES #00550*,Home,Sale,-47.18
04/02/2019,04/03/2019,CHEVRON 0210271,Gas,Sale,-24.84
04/01/2019,04/02/2019,KROGER 0448,Groceries,Sale,-17.56
03/30/2019,04/01/2019,TUESDAY MORNING # 1010,Shopping,Sale,-125.48
03/30/2019,04/01/2019,TARGET        00010322,Shopping,Sale,-36.78
03/29/2019,04/01/2019,T-Swirl Crepe,Food & Drink,Sale,-25.10
03/29/2019,04/01/2019,T-Swirl Crepe,Food & Drink,Sale,-2.17
03/29/2019,03/31/2019,PAYPAL *9479341CANA,Gifts & Donations,Sale,-106.19
